response_id,campaign_id,customer_id,response_date,responded
1,1,1,2024-09-04,True
2,1,2,2024-09-09,False
3,1,3,2024-08-22,True
4,1,4,2024-09-23,False
5,1,5,2024-08-31,True
6,1,6,2024-09-25,False
7,1,7,2024-09-01,False
8,1,8,2024-09-12,True
9,1,9,2024-09-08,False
10,1,10,2024-09-10,False
11,1,11,2024-09-03,True
12,1,12,2024-09-23,True
13,1,13,2024-08-28,True
14,1,14,2024-09-08,False
15,1,15,2024-08-27,True
16,1,16,2024-09-01,True
17,1,17,2024-09-25,True
18,1,18,2024-09-08,False
19,1,19,2024-08-25,True
20,1,20,2024-09-09,False
21,1,21,2024-08-23,True
22,1,22,2024-09-05,True
23,1,23,2024-09-21,False
24,1,24,2024-09-01,True
25,1,25,2024-09-25,True
26,1,26,2024-09-21,False
27,1,27,2024-08-22,True
28,1,28,2024-09-25,False
29,1,29,2024-08-25,True
30,1,30,2024-09-21,False
31,1,31,2024-08-21,True
32,1,32,2024-09-08,False
33,1,33,2024-09-27,True
34,1,34,2024-09-05,False
35,1,35,2024-08-22,True
36,1,36,2024-09-07,False
37,1,37,2024-09-19,False
38,1,38,2024-09-12,True
39,1,39,2024-09-09,False
40,1,40,2024-09-18,True
41,1,41,2024-08-28,False
42,1,42,2024-08-28,True
43,1,43,2024-08-28,True
44,1,44,2024-08-27,True
45,1,45,2024-09-17,True
46,1,46,2024-09-21,False
47,1,47,2024-08-28,True
48,1,48,2024-08-25,True
49,1,49,2024-09-20,False
50,1,50,2024-08-29,True
51,1,51,2024-09-18,True
52,1,52,2024-09-02,False
53,1,53,2024-08-23,False
54,1,54,2024-08-21,False
55,1,55,2024-09-23,True
56,1,56,2024-08-22,False
57,1,57,2024-08-27,True
58,1,58,2024-08-31,False
59,1,59,2024-09-25,False
60,1,60,2024-09-02,True
61,1,61,2024-08-28,False
62,1,62,2024-09-12,True
63,1,63,2024-09-19,False
64,1,64,2024-09-18,True
65,1,65,2024-09-17,True
66,1,66,2024-09-06,True
67,1,67,2024-09-08,False
68,1,68,2024-09-28,False
69,1,69,2024-09-24,False
70,1,70,2024-09-23,True
71,1,71,2024-08-21,False
72,1,72,2024-09-23,False
73,1,73,2024-09-16,False
74,1,74,2024-09-25,True
75,1,75,2024-09-14,False
76,1,76,2024-09-01,True
77,1,77,2024-09-04,True
78,1,78,2024-09-07,False
79,1,79,2024-09-12,True
80,1,80,2024-09-13,True
81,1,81,2024-09-27,False
82,1,82,2024-09-06,False
83,1,83,2024-09-06,True
84,1,84,2024-09-01,True
85,1,85,2024-08-22,True
86,1,86,2024-09-02,True
87,1,87,2024-09-17,False
88,1,88,2024-08-28,False
89,1,89,2024-09-11,False
90,1,90,2024-09-19,True
91,1,91,2024-09-27,True
92,1,92,2024-08-24,True
93,1,93,2024-09-09,False
94,1,94,2024-09-09,False
95,1,95,2024-09-14,False
96,1,96,2024-08-25,False
97,1,97,2024-09-21,False
98,1,98,2024-09-28,True
99,1,99,2024-08-27,True
100,1,100,2024-09-05,True
101,1,101,2024-08-22,False
102,1,102,2024-09-13,True
103,1,103,2024-08-29,False
104,1,104,2024-08-23,True
105,1,105,2024-08-26,True
106,1,106,2024-08-21,True
107,1,107,2024-09-22,True
108,1,108,2024-09-29,True
109,1,109,2024-09-22,False
110,1,110,2024-09-25,True
111,1,111,2024-09-15,False
112,1,112,2024-09-25,True
113,1,113,2024-09-17,True
114,1,114,2024-09-03,False
115,1,115,2024-08-21,False
116,1,116,2024-08-23,True
117,1,117,2024-09-07,True
118,1,118,2024-09-20,False
119,1,119,2024-09-02,False
120,1,120,2024-09-26,True
121,1,121,2024-09-09,True
122,1,122,2024-09-05,False
123,1,123,2024-09-23,False
124,1,124,2024-08-23,True
125,1,125,2024-09-14,False
126,1,126,2024-09-15,False
127,1,127,2024-09-24,False
128,1,128,2024-09-17,True
129,1,129,2024-09-09,False
130,1,130,2024-08-31,False
131,1,131,2024-09-17,True
132,1,132,2024-08-23,False
133,1,133,2024-09-06,True
134,1,134,2024-09-08,True
135,1,135,2024-09-06,False
136,1,136,2024-09-26,True
137,1,137,2024-09-14,True
138,1,138,2024-08-21,True
139,1,139,2024-09-03,True
140,1,140,2024-09-27,False
141,1,141,2024-09-22,False
142,1,142,2024-08-29,False
143,1,143,2024-09-25,False
144,1,144,2024-09-15,True
145,1,145,2024-09-12,False
146,1,146,2024-09-08,False
147,1,147,2024-09-09,False
148,1,148,2024-09-27,True
149,1,149,2024-08-24,False
150,1,150,2024-08-27,True
151,1,151,2024-08-29,False
152,1,152,2024-09-16,False
153,1,153,2024-09-23,True
154,1,154,2024-09-01,False
155,1,155,2024-09-03,True
156,1,156,2024-09-03,True
157,1,157,2024-09-04,False
158,1,158,2024-09-01,False
159,1,159,2024-09-26,True
160,1,160,2024-08-29,True
161,1,161,2024-08-28,True
162,1,162,2024-09-26,True
163,1,163,2024-09-20,False
164,1,164,2024-09-14,False
165,1,165,2024-09-09,True
166,1,166,2024-09-01,False
167,1,167,2024-08-24,True
168,1,168,2024-08-30,False
169,1,169,2024-08-21,False
170,1,170,2024-08-29,True
171,1,171,2024-09-17,False
172,1,172,2024-08-27,True
173,1,173,2024-09-23,True
174,1,174,2024-08-26,False
