fraud_id,transaction_id,fraud_date,is_fraud
1,1,2025-04-02,True
2,2,2025-02-14,True
3,3,2025-03-08,False
4,4,2025-03-27,True
5,5,2025-03-05,False
6,6,2025-03-09,True
7,7,2025-02-13,True
8,8,2025-03-14,False
9,9,2025-02-26,False
10,10,2025-04-02,False
11,11,2025-03-17,True
12,12,2025-03-08,False
13,13,2025-03-25,False
14,14,2025-04-09,False
15,15,2025-03-04,False
16,16,2025-03-29,False
17,17,2025-03-25,False
18,18,2025-03-02,False
19,19,2025-03-27,False
20,20,2025-01-27,True
21,21,2025-03-27,False
22,22,2025-03-23,False
23,23,2025-04-09,True
24,24,2025-03-25,True
25,25,2025-02-14,False
26,26,2025-03-01,True
27,27,2025-03-23,False
28,28,2025-03-12,False
29,29,2025-02-11,False
30,30,2025-03-23,True
31,31,2025-03-31,True
32,32,2025-02-16,False
33,33,2025-04-08,True
34,34,2025-03-06,False
35,35,2025-02-17,False
36,36,2025-03-12,False
37,37,2025-04-06,True
38,38,2025-02-19,False
39,39,2025-03-23,False
40,40,2025-03-29,True
41,41,2025-04-10,False
42,42,2025-04-05,True
43,43,2025-04-10,True
44,44,2025-04-06,False
45,45,2025-04-08,True
46,46,2025-03-31,True
47,47,2025-03-22,True
48,48,2025-04-10,False
49,49,2025-03-31,False
50,50,2025-03-18,True
51,51,2025-04-10,True
52,52,2025-04-02,False
53,53,2025-03-09,True
54,54,2025-03-14,False
55,55,2025-03-15,True
56,56,2025-02-16,True
57,57,2025-01-24,False
58,58,2025-02-23,True
59,59,2024-01-09,False
60,60,2025-03-27,True
61,61,2024-03-26,False
62,62,2024-06-05,False
63,63,2023-02-18,False
64,64,2025-04-02,False
65,65,2024-07-13,False
66,66,2024-01-17,False
67,67,2022-07-07,True
68,68,2024-10-11,True
69,69,2024-07-01,False
70,70,2023-12-03,False
71,71,2025-03-18,False
72,72,2022-09-05,True
73,73,2024-10-01,False
74,74,2024-06-28,True
75,75,2023-09-11,True
76,76,2024-04-25,True
77,77,2024-07-12,True
78,78,2024-04-13,False
79,79,2023-11-19,False
80,80,2024-11-19,False
81,81,2025-04-05,True
82,82,2025-01-19,False
