"transaction_id","account_id","amount","iso_anomaly_score","ae_reconstruction_error","combined_anomaly_score","fraud_flag"
2,2,1818702.38,0.595316913804431,8.41981804047776e-05,3,1
18,2,3759498.61,0.613735194448043,1.35707295352488e-05,3,1
7,2,158208.81,0.650534588437728,4.31949530102178e-05,3,1
1,2,3488093.24,0.613319772772523,7.86412804373848e-06,2,0
16,2,2965787.18,0.590499416996368,9.24465087800708e-06,1,0
15,2,540168.72,0.645270252366197,2.68128470145677e-05,3,1
9,2,1612537.86,0.593706730317642,0.000229425829049573,2,0
6,2,2566849,0.588902263634591,2.12822729474531e-05,2,0
11,2,1532071.87,0.598550393488012,1.32061744263861e-05,2,0
10,2,2107617.41,0.586514629753225,4.6452633824286e-06,2,0
12,2,4046297.44,0.588105307647482,7.01329587907844e-06,1,0
13,2,4170647.96,0.590899381693565,2.62086125738775e-05,2,0
3,2,184618.74,0.612904632285324,8.63702884573981e-05,3,1
5,2,1038027.34,0.604251300621003,6.88822667653619e-05,4,1
17,2,4826212.82,0.597740380776001,4.78677543393649e-05,3,1
8,2,2336767.11,0.594913958992591,1.31619390510243e-05,1,0
4,2,2690205.97,0.594108867433752,7.38130095785358e-05,2,0
14,2,2413305.4,0.589700299596386,1.9170621132611e-05,1,0
24,3,3342515.82,0.622945998816259,0.000185358461450193,3,1
25,3,1938481.99,0.588105307647482,0.000109557384700635,2,0
32,3,1698593.69,0.590099723025057,9.0586906130319e-05,3,1
27,3,1969857.95,0.590099723025057,1.22168773694339e-05,0,0
21,3,1507110.39,0.588503650735592,1.47091297292463e-05,1,0
29,3,1812039.91,0.588503650735592,1.49203351315508e-05,2,0
20,3,1980573.34,0.594108867433752,8.04116688601971e-05,1,0
19,3,1547058.42,0.594511276930571,8.16782447706241e-05,4,1
38,3,3269432.36,0.584928254245173,1.96934317012338e-06,2,0
26,3,4490208.43,0.59170012399923,4.88978462124341e-05,3,1
35,3,4171328.24,0.589700299596386,3.87537051887951e-05,3,1
23,3,797489.69,0.609180990013104,1.29676608044214e-05,1,0
34,3,4792605.21,0.607122083887915,0.000102121221854572,2,0
22,3,451744.31,0.592501951410515,3.25552030787585e-05,2,0
28,3,1109248.53,0.602616951850509,3.46195329520712e-05,3,1
36,3,3279687.15,0.586117632982609,4.48003288161843e-06,2,0
30,3,3758670.62,0.587707234187633,8.40911961490529e-06,3,1
31,3,2500248.49,0.586117632982609,3.95961527144654e-06,3,1
37,3,644568.81,0.631439357908034,0.000236682784778145,1,0
33,3,1425535.66,0.587309430173541,1.50850319752928e-06,1,0
50,4,3659789.66,0.585720904928967,1.8135143837613e-06,4,1
48,4,1336910.36,0.605070136440856,0.000212781197346486,4,1
53,4,4593956.89,0.62084056979984,5.50420760084141e-05,3,1
54,4,383604.18,0.612489772796116,3.92285710443462e-05,3,1
49,4,1623838.12,0.591299617300021,2.49049371162929e-05,2,0
52,4,4463690.67,0.600173713404041,3.62295374656655e-05,4,1
44,4,2574966.54,0.608356591013129,2.68526557194035e-05,2,0
55,4,1910183.06,0.59612364241666,0.00020477522571058,2,0
40,4,2510805.87,0.597740380776001,1.03051561827185e-05,1,0
46,4,1836153.5,0.586514629753225,1.65497523090819e-05,2,0
45,4,243669.45,0.614983148509751,0.000159658340641568,3,1
47,4,2129086.98,0.587707234187633,2.02606527581113e-06,1,0
39,4,1515469.61,0.594913958992591,0.000108412092146075,3,1
42,4,3798294.3,0.598550393488012,1.56075077839014e-05,1,0
43,4,35776.69,0.699415200431413,0.000242487443001169,3,1
41,4,4858879.45,0.594511276930571,4.07929133081176e-05,3,1
51,4,421150.25,0.609593608354792,4.10634446795944e-05,3,1
65,5,1107397.1,0.598145250016373,8.73719025299865e-05,3,1
79,5,893933.57,0.594913958992591,2.6920036230724e-05,3,1
67,5,2104403.17,0.586514629753225,4.64139507856839e-06,2,0
69,5,2310275.81,0.597335785581275,0.000151666753296514,2,0
72,5,2807067.36,0.609593608354792,2.787637520794e-05,4,1
60,5,2867106.74,0.587309430173541,1.33888732685095e-05,1,0
56,5,4637275.32,0.598955811376664,5.0077576901057e-05,2,0
63,5,3910470.83,0.590099723025057,3.21382072386243e-05,3,1
78,5,1979352.74,0.589700299596386,1.08547643075396e-05,4,1
66,5,3057320.01,0.586911895422824,4.76437993030896e-06,1,0
70,5,3488929.1,0.591299617300021,2.67346261459482e-05,3,1
75,5,1758780.26,0.595720141550831,8.01701100271588e-05,3,1
73,5,1520859.62,0.587309430173541,8.64957824509931e-07,1,0
68,5,63823.56,0.704167035470059,0.000103745723672377,3,1
61,5,1384992.2,0.595720141550831,2.39304174182808e-05,2,0
59,5,1305617.77,0.598955811376664,0.000170539120208595,2,0
62,5,3391363.04,0.588105307647482,5.96927900983271e-07,1,0
64,5,2312743.69,0.585324445410409,1.84533433356344e-05,3,1
76,5,3720516.04,0.605890081885297,2.71367530738153e-05,2,0
74,5,148793.28,0.632295036933945,1.36376943793399e-06,3,1
77,5,659355.25,0.602209055829393,3.7454136913597e-05,3,1
57,5,112894.99,0.660744911462635,7.1558019384899e-05,3,1
58,5,4184429.73,0.588503650735592,4.60950543991907e-06,2,0
71,5,162300.28,0.622102971757172,0.000177334153548541,2,0
93,6,2306436.76,0.592903272490204,1.99645955330631e-05,0,0
80,6,1760771.08,0.612075194114699,1.39936848886637e-05,3,1
88,6,1625776.53,0.586911895422824,1.15182681253765e-06,0,0
87,6,3099981.55,0.594108867433752,1.32395650351877e-05,2,0
83,6,1432130.84,0.596527416586911,1.40055793725237e-05,4,1
85,6,3417075.53,0.586514629753225,7.19670603535096e-06,1,0
89,6,114574.86,0.638749699062364,0.000234132504313943,2,0
96,6,3610509.27,0.590099723025057,4.73476578973012e-06,3,1
81,6,3151748.02,0.593304865397874,4.86452624234844e-06,4,1
82,6,2678599.62,0.609593608354792,2.71911649043578e-05,2,0
86,6,945185.91,0.588902263634591,1.27765723331977e-05,1,0
95,6,4360555.21,0.596527416586911,4.81779159335974e-05,3,1
94,6,4864053.63,0.614566882126005,4.5758739150091e-05,3,1
92,6,664117.64,0.595720141550831,7.84721566866424e-06,2,0
91,6,3615577.48,0.593304865397874,7.83214861968138e-05,0,0
90,6,2557165.93,0.589700299596386,1.1729253050296e-05,3,1
